;¿Qué modalidad de estudios se ofrece en el posgrado en física educativa?;El posgrado en física educativa cuenta con una modalidad de estudio a distancia en línea.
;Esta línea de investigación prioriza el análisis de las políticas educativas relacionadas con las TIC, así como los procesos de innovación, diseño y desarrollo de recursos informáticos, tecnológicos y contenidos digitales, el diseño de ambientes virtuales, y su implementación en el aula a través del e-learning.;El ingreso a la maestría en tecnología avanzada es cada dos años, mientras que el ingreso al doctorado en tecnología avanzada anual.
;¿Qué reconocimientos tiene el cuerpo académico que imparte el posgrado en física educativa?;El cuerpo académico del posgrado en física educativa está conformado por profesores con los más altos niveles científicos, tecnológicos y humanísticos en México y a nivel internacional. También están incorporados al sistema nacional de investigadores que depende del Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCYT)
;¿De qué nacionalidades son los estudiantes y egresados del posgrado en física educativa?;Gracias a la interacción a distancia que ofrece la modalidad en línea, los estudiantes y egresados del posgrado en física educativa son de diferentes lugares de la república mexicana y de otras partes del mundo. Estados Unidos, El Salvador, Costa Rica, Chile, Ecuador, Irán, Nigeria, entre otros.
;¿Qué ventajas tiene estudiar el posgrado en física educativa en CICATA, Unidad Legaria en comparación con otras universidades?;El CICATA, Unidad Legaria del Instituto Politécnico Nacional es pionero en el país y en Latinoamérica en la utilización de ambientes virtuales de aprendizaje en programas de posgrado en física educativa.
;¿Qué misión tiene el posgrado en física educativa?;El posgrado en Física Educativa forma recursos humanos de alta especialidad educativa, mediante cursos de posgrado, el desarrollo de proyectos de investigación, de desarrollo tecnológico y de innovación con una visión global, vinculados a los sectores social y privado, para atender y contribuir con pertinencia a la solución de los problemas nacionales de la Educación en Ciencias, a través de capital humano especializado.
;¿Qué objetivos tiene el posgrado en física educativa?;El posgrado en Física Educativa ofrece una alternativa de formación profesional para la labor docente en Física y en las ciencias en general, así como para la investigación básica y aplicada, de los procesos de aprendizaje y enseñanza de las ciencias. En este sentido este posgrado pretende contribuir al avance del conocimiento y a la formación de profesores e investigadores para ofrecer una sólida formación teórica, metodológica, técnica e investigativa para la solución científica de los problemas relacionados con el proceso de enseñanza aprendizaje de la Física y las ciencias. 
;¿Qué visión tiene el posgrado en física educativa?;El posgrado programa en Física Educativa será de vanguardia en investigación, desarrollo científico, tecnológico e innovación, que contribuirá al desarrollo global en educación, a través de sus funciones sustantivas, con calidad, ética y compromiso social.
;¿Qué profesores integran el claustro del posgrado en física educativa?;El núcleo académico básico que integra el claustro de profesores del posgrado en física educativa está integrado por profesores-investigadores especialistas en el área de la física educativa. Con ellos colaboran académicos de diversos campos de especialidad, ubicados en centros de investigación y universidades de México y del extranjero.
;¿Cuáles son los temas o áreas específicas de investigación que abarca la línea de investigación construcción social del conocimiento matemático?;Los temas o áreas específicas de investigación que abarca la línea de investigación construcción social del conocimiento matemático son: Dominio afectivo en matemáticas.Visualización y desarrollo del pensamiento matemático. Modelación matemática para la formación de futuros ingenieros. Pensamiento estocástico. Equidad y estudios de género en matemáticas. 
;¿Cuáles son los temas o áreas específicas de investigación que abarca la línea de investigación desarrollo profesional docente?;Los temas o áreas específicas de investigación que abarca la línea de investigación desarrollo profesional docente son:    Estudios sobre la práctica docente.Estudios sobre la identidad docente. Estudios sobre el conocimiento disciplinar y didáctico del docente. Diseño de actividades en modelación matemática para la clase de matemáticas. 
;¿Cuáles son los temas o áreas específicas de investigación que abarca la línea de investigación uso de la tecnología en educación matemática?;Los temas o áreas específicas de investigación que abarca la línea de investigación uso de la tecnología en educación matemática son: Educación matemática a distancia. Tecnología en el aula de clases. Redes sociales en la clase de matemáticas. Diseño de recursos didácticos que involucran el uso de la tecnología. 
;¿Quién es el coordinador del posgrado en física educativa?;La coordinador de la maestría en física educativa es el Dr. José Gilberto Castrejón Mendoza
;¿Cómo puedo contactar con el coordinador del posgrado en física educativa?;Puede contactar con Dr. José Gilberto Castrejón Mendoza, coordinador del doctorado en física educativa, a través del numero de teléfono (+52) 55 5729 6000 Extensión 67733 o del correo gcastrejon@ipn.mx​
;¿Hay alguna otra forma de contactar con la coordinación del posgrado en física educativa además de los contactos del coordinador?;También puede conatactar a Sra. Laura González, asistente de coordinación del posgrado en física educativa al correo fised@ipn.mx​ o al número de teléfono (+52) 55 5729 6000 Extensión 67775
;¿Cuáles son las líneas de investigacion del Dr. César Eduardo Mora Ley?;Didáctica de la Física.
;¿Cuál es el contacto del Dr. César Eduardo Mora Ley?;Teléfono: (52) 55 57296000 Ext. 67702 y 67721, E-mail: cmoral@ipn.mx
;¿Qué plaza ocupa el Dr. César Eduardo Mora Ley?;Profesor Titular de Tiempo Completo
;¿Cuáles son las líneas de investigacion del Dra. Fabiola Escobar Moreno?;Didáctica de la Física, problemas de física en contexto STEAM.
;¿Cuál es el contacto del Dra. Fabiola Escobar Moreno?;E-mail: fescobar@ipn.mx
;¿Qué plaza ocupa el Dra. Fabiola Escobar Moreno?;Profesor de asignatura
;¿Cuáles son las líneas de investigacion del Dr. Rubén Sánchez Sánchez?;Las TIC en la enseñanza de la Física.
;¿Cuál es el contacto del Dr. Rubén Sánchez Sánchez?;Teléfono: (52) 55 57296000 Ext. 67733, E-mail: rbnsnchz@yahoo.com.mx
;¿Qué plaza ocupa el Dr. Rubén Sánchez Sánchez?;Profesor Titular de Tiempo Completo
;¿Cuáles son las líneas de investigacion del Dr. Jesús Alberto Flores Cruz?;Las TIC en la enseñanza de la Física.
;¿Cuál es el contacto del Dr. Jesús Alberto Flores Cruz?;Teléfono: (52) 55 57296000 Ext. 67780, E-mail: jafloresc@ipn.mx
;¿Qué plaza ocupa el Dr. Jesús Alberto Flores Cruz?;Profesor Titular de Tiempo Completo
;¿Cuáles son las líneas de investigacion del Dr. Ricardo García Salcedo?;Las TIC en la Enseñanza de la Física. Aplicación de algoritmos de Aprendizaje Automático en Educación. Didáctica de la Física y Física Teórica.
;¿Cuál es el contacto del Dr. Ricardo García Salcedo?;Teléfono: (52) 55 57296000 Ext. 67751, E-mail:rigarcias@ipn.mx
;¿Qué plaza ocupa el Dr. Ricardo García Salcedo?;Profesor Titular de Tiempo Completo
;¿Cuáles son las líneas de investigacion del  Dr. José Gilberto Castrejón Mendozaa?;Filosofía de la Física, Epistemología de las Ciencias.
;¿Cuál es el contacto del  Dr. José Gilberto Castrejón Mendoza?;Teléfono: (52) 55 57296000 Ext. 67733, E-mail: gcastrejon@ipn.mx
;¿Qué plaza ocupa el  Dr. José Gilberto Castrejón Mendoza?;Profesor Titular de Tiempo Completo
;¿Cuáles son las líneas de investigacion del  Dra. Silvia Gpe. Maffey García?;Líneas de Investigación: Didáctica de la Física.
;¿Cuál es el contacto del  Dra. Silvia Gpe. Maffey García?;Teléfono: (52) 55 57296000 Ext. 67037, E-mail: silvia2921@prodigy.net.mx y smaffey@ipn.mx
;¿Qué plaza ocupa el  Dra. Silvia Gpe. Maffey García?;Profesora titular de tiempo completo
;¿Cuáles son las líneas de investigacion del Dra. Elvia Rosa Ruíz Ledezma?;Didáctica de la física y formación de profesores.
;¿Cuál es el contacto del Dra. Elvia Rosa Ruíz Ledezma?;Teléfono: (52) 55 57296000 Ext. 63646, E-mail: ruizelvia@hotmail.com
;¿Qué plaza ocupa el Dra. Elvia Rosa Ruíz Ledezma?;Profesora titular de tiempo completo
;¿Cuáles son las líneas de investigacion del Dr. Fermín Acosta Magallanes?;Didáctica de la Física.
;¿Cuál es el contacto del Dr. Fermín Acosta Magallanes?;Teléfono: (52) 55 57296000 Ext. 56860, E-mail: facostam@ipn.mx, ferminacosta66@hotmail.com
;¿Qué plaza ocupa el Dr. Fermín Acosta Magallanes?;Plaza: Profesor titular de tiempo completo
;¿Cuáles son las líneas de investigacion del Dr. Jhony Alexis Medina Paredes?;Didáctica de la Física.
;¿Cuáles son las líneas de investigacion del Dr. Jaime Duvan Reyes Roncancio?;Didáctica de la Física.
;¿Cuáles son las líneas de investigacion del Dr. Edier Hernan Bustos?;Didáctica de la Física.
;¿Cuáles son las líneas de investigacion del Dr. Oscar Suárez Jardey?;Didáctica de la Física
;¿Cuál es el contacto del Dra. Fabiola Ocampo Botello?;Teléfono: (52) 55 57296000 Ext. 52083, E-mail: focampob@ipn.mx
;¿Qué plaza ocupa el Dra. Fabiola Ocampo Botello?;Profesor titular de tiempo completo
;¿Cuáles son las líneas de investigacion del Dr. Carlos de la Cruz Sosa?;TIC Aplicadas a la Didáctica de las Ciencias, Analítica del Aprendizaje, Minería de Datos e Inteligencia Artificial en Educación.
;¿Cuál es el contacto del Dr. Carlos de la Cruz Sosa?;Teléfono: (52) 55 57296000 Ext. 56841, E-mail: cdelacruz@ipn.mx
;¿Qué plaza ocupa el Dr. Carlos de la Cruz Sosa?;Profesor titular de tiempo completo
;¿Cuáles son las líneas de investigacion del  Dr. Carlos Israel Aguirre Vélez?;Demostraciones experimentales usando materiales de bajo costo como actividades de aprendizaj., Divulgación científica aplicada al aula., Cómputo científico y simulaciones PhET para la enseñanza de la Física., Inteligencia Artificial aplicada.
;¿Cuál es el contacto del  Dr. Carlos Israel Aguirre Vélez?;Teléfono: (52) 55 57296000 Ext. 67783,E-mail: caguirre@ipn.mx
;¿Qué plaza ocupa el  Dr. Carlos Israel Aguirre Vélez?;Profesor titular de tiempo completo
;¿Cuáles son las líneas de investigacion del Dr. Daniel Sánchez Guzmán?;TIC Aplicadas a la Didáctica de las Ciencias, Tutores Inteligentes Aplicados a la Didáctica de las Ciencias, Aprendizaje Activo Mediado por Tecnología Aplicados en Didáctica de las Ciencias. Video
;¿Cuál es el contacto del Dr. Daniel Sánchez Guzmán?;Teléfono: (52) 55 57296000 Ext. 81401 E-mail: dsanchez@ipn.mx
;¿Qué plaza ocupa el Dr. Daniel Sánchez Guzmán?;profesor titular de tiempo completo
;¿Cuáles son los requisitos de admisión para la maestría en física educativa?;"Poseer título y cédula profesional de licenciatura. Aprobar el proceso de admisión. Obtener calificación aprobatoria (mínimo 8) en el examen de conocimiento del idioma inglés, nivel B1, en dos de las siguientes habilidades: comprensión de lectura, comprensión auditiva, expresión escrita o expresión oral; por medio de algún documento oficial, validable por la DFLE-IPN, o en el examen del CENLEX-IPN. No haber causado baja en algún posgrado del Instituto, salvo que haya sido revocada por el Colegio Académico."
;¿Qué duración tiene la maestría en física educativa?;La maestría en física educativa tiene una duración de cuatro semestres.
;¿Qué perfiles académicos deben tener los aspirantes a ingresar a la maestría en física educativa?;Los aspir​antes a ingresar en el programa de Maestría en Ciencias en Física Educativa son profesionales en diversos campos del conocimiento comprometidos con su entorno educativo e interesados en utilizar la investigación y sus resultados para producir innovaciones educativas.
;¿Qué perfil académicos tienen los egresados de la maestría en física educativa?;Quienes egresen de la Maestría en Ciencias en Física Educativa, serán profesionales del más alto nivel que estarán en condiciones académicas de:Articular la investigación con la realidad educativa.Incorporar los hallazgos de la investigación a la realidad educativa mediante los diferentes procesos del diseño curricular.Investigar, aspectos particulares de las diversas dimensiones del conocimiento físico: la naturaleza epistemológica, la dimensión sociocultural, los planos de lo cognitivo y los modos de transmisión vía la enseñanza.Diseñar innovaciones basadas en la investigación de situaciones de aprendizaje, atendiendo a factores de reproducibilidad.Desarrollar un entendimiento científico del aprendizaje e instrucción en Física.Proponer y participar en grupos académicos que contribuyan al enriquecimiento de la labor docente.El egresado del programa deberá poseer la conciencia social adecuada para ejercer su profesión en forma ética.
;¿Cuál es el plan de estudios de la maestria en física educativa?;Puede consultar el plan de estuidos del a maestría en ficica educativa a traves de la siguiente liga: https://www.cicata.ipn.mx/oferta-educativa/fisica-educativa/posgrados/maestria.html
;¿La maestría en ciencias en física educativa se encuentra dentro del programa nacional de posgrados de calidad del CONAHCYT?;La maestría en ciencias en física educativa si se encuentra registrada dentro del programa nacional de posgrados de calidad del CONAHCYT
;¿Cuáles son las unidades de aprendizajes obligatorias de la maestría en física educativa?;Introducción a la Didáctica de la Física. Metodología de la Investigación Educativa I.Fundamentos de las Teorías Físicas. Elementos de Física Moderna. Tecnologías de la Información y la Comunicación en la Enseñanza de la Física. Laboratorio Virtual de Física. Seminario de Física Educativa I. Seminario de Física Educativa II. Seminario de Física Educativa III. Seminario de Tesis
;¿Cuáles son las unidades de aprendizajes optativas de la maestría en física educativa?;Historia de la Física. Filosofía de la Ciencia. Temas especiales de Física I. Temas especiales de Física II. Temas especiales de Física III. Temas especiales de Física IV. Temas especiales de Física V. Teorías del Aprendizaje. Didáctica de la Física. Herramientas Computacionales en la Enseñanza de la Física. Metodología de Investigación Educativa II
;¿Cuál es el objetivo de la asignatura Introducción a la dinámica de la física?;Proveer al alumno de los fundamentos psicológicos y didácticos necesarios para la dirección del proceso de aprendizaje
;¿Cuáles son los temas de la asignatura Introducción a la dinámica de la física?;Introducción, Fundamentos psicológicos del proceso de enseñanza aprendizaje, Estudio del proceso de enseñanza aprendizaje, Algunas consideraciones sobre los conocimientos y su formación, Algunas consideraciones sobre las habilidades y su formación en el proceso de enseñanza aprendizaje.
;¿Cuál es el sistema de evaluación de la asignatura Introducción a la dinámica de la física?;Elaboración de reportes de lecturas 40%.Participación en foros de discusión 20%.Elaboración de ensayos 40%.
;¿Cuál es el objetivo de la asignatura Fundamentos de las Teorías Físicas?;Analizar los fundamentos de la física y mostrar la importancia del papel que juegan las teorías de mecánica clásica, propiedades de la materia, electricidad, magnetismo y la óptica en la cotidianeidad de la vida y en el entendimiento de los fenómenos de la naturaleza.
;¿Cuáles son los temas de la asignatura Fundamentos de las Teorías Físicas?;Mecánica clásica, Propiedades de la materia y el calor, Luz y acústica, Electricidad y magnetismo, Física contemporánea
;¿Cuál es el sistema de evaluación de la asignatura Fundamentos de las Teorías Físicas?;Elaboración de reportes de lecturas 40%. Participación en foros de discusión 20%. Examen escrito 40%.
;¿Cuál es el objetivo de la asignatura Elementos de Física Moderna?;Analizar los fundamentos de la Mecánica Cuántica, así como del conocimiento básico de la Física de las partículas.
;¿Cuáles son los temas de la asignatura Elementos de Física Moderna?;Introducción, Mecánica cuántica, Física atómica, Moléculas y sólidos, Estructura nuclear, Física de partículas
;¿Cuál es el sistema de evaluación de la asignatura Elementos de Física Moderna?;Entrega de reportes de lectura en los tiempos establecidos 50%. Participación activa en foros de discusión 30%. Actividades de Investigación que se soliciten 20%
;¿Cuál es el objetivo de la asignatura Laboratorio Virtual de Física?;Visualizar por computadora algunas leyes de diversas áreas de la física universitaria básica, y calcular cantidades físicas de acuerdo al experimento en cuestión. Desarrollar estrategias educativas mediante la simulación computacional para la enseñanza de conceptos físicos
;¿Cuáles son los temas de la asignatura Laboratorio Virtual de Física?;Diseño de materiales y selección de recursos para el aprendizaje en ambientes virtuales. Diseño de simulaciones computacionales para fenómenos físicos. Herramientas de simulación para la enseñanza de la Física.
;¿Cuál es el sistema de evaluación de la asignatura Laboratorio Virtual de Física?;Elaboración de reportes de lecturas 20%. Participación en foros de discusión 20%. Elaboración de prácticas digitales 20%. Elaboración de ensayos 40%.
;¿Cuál es el objetivo de la asignatura Seminario de Tesis?;Dar seguimiento al desempeño académico y del trabajo de tesis de cada alumno, así como para identificar atrasos y deficiencias en los mismos, de manera que esto permita su temprana corrección. El seminario de Tesis consiste en la presentación oral de cada alumno ante un grupo de sinodales y de todos sus compañeros del programa de maestría, versando sobre el avance de su trabajo de tesis, los productos obtenidos y sus actividades académicas.
;¿Cuál es el sistema de evaluación de la asignatura Seminario de Tesis?;Los aspectos a evaluar serán: 1. Seguridad, claridad, puntualidad y ajuste al tiempo en su presentación. 2. Calidad, estructura y contenido de su exposición. 3. Conocimiento sobre el tema de su exposición y conceptos relacionados. 4. Avances de su programa de tesis. 5. Claridad y certeza en las respuestas a los cuestionamientos. 6. Asistencia y participación en las presentaciones de otros compañeros de maestría.
;¿Cuál es el objetivo de la asignatura Historia de la Física?;Analizar el desarrollo histórico de las ideas y conceptos físicos, y dar una visión panorámica de los aspectos más fundamentales que han conformado la estructura de la física como ciencia y como actividad científica.
;¿Cuáles son los temas de la asignatura Historia de la Física?;Introducción, Los orígenes de la cosmología científica, El establecimiento de la ciencia moderna, La Física en el siglo XVIII, La Física del siglo XIX, La Física contemporánea
;¿Cuál es el sistema de evaluación de la asignatura Historia de la Física?;Elaboración de reportes de lecturas 40%. Participación en foros de discusión 20%. Elaboración de ensayos 40%
;¿Cuál es el objetivo de la asignatura Metodología de Investigación Educativa II?;Diseñar un reporte de la propia enseñanza con la finalidad de analizar el proceso de aprendizaje y la influencia que sobre éste tiene el rol del profesor a partir de la investigación acción
;¿Cuáles son los temas de la asignatura Metodología de Investigación Educativa II?;Problemas de la investigación en la enseñanza de la física. La investigación acción. Reporte de investigación
;¿Cuál es el sistema de evaluación de la asignatura Metodología de Investigación Educativa II?;Elaboración de reportes de lecturas 40%. Participación en foros de discusión 20%. Elaboración de ensayos 40%
;¿Qué profesores forman es el núcleo académico del posgrado en fisica aplicada?;Dr. César Eduardo Mora Ley, Dra. Fabiola Escobar Moreno, Dr. Rubén Sánchez Sánchez, Dr. Ricardo García Salcedo, Dr. Jesús Alberto Flores Cruz, Dr. José Gilberto Castrejón Mendoza, Dra. Silvia Gpe. Maffey García, Dra. Elvia Rosa Ruíz Ledezma, Dr. Fermín Acosta Magallanes, Dr. Jhony Alexis Medina Paredes, Dr. Jaime Duvan Reyes Roncancio, Dr. Edier Hernan Bustos, Dr. Oscar Suárez Jardey
;¿El doctorado en ciencias en física educativa se encuentra dentro del programa nacional de posgrados de calidad del CONAHCYT?;El doctorado en ciencias en física educativa si se encuentra registrada dentro del programa nacional de posgrados de calidad del CONAHCYT
;¿Cuáles son los requisitos de ingreso al doctorado en física educativa?;Poseer título profesional de licenciatura y cedula profesional. Poseer el grado de maestría y cédula profesional. Aprobar el proceso de admisión. Obtener calificación aprobatoria (mínimo 8) en el examen de dominio del idioma inglés, nivel B1, de por lo menos tres de cuatro habilidades, o de algún otro idioma, aprobado por el Colegio de Profesores. No haber causado baja en algún posgrado del Instituto, salvo que haya sido revocada por el Colegio Académico.
;¿Qué perfiles académicos deben tener los aspirantes a ingresar en el doctorado en física educativa?;Tener capacidad en el manejo de herramientas informáticas como la computadora personal, el correo electrónico, Internet y la plataforma educativa institucional (Moodle). Tener interés por la investigación documental en medios impresos y electrónicos. Habilidad en lectura, redacción y expresión verbal.  Habilidad para el estudio independiente. Disposición para el trabajo individual y en equipo, de manera presencial y/o a través del Campus Virtual Politécnico.  Habilidad para establecer relaciones cordiales y respetuosas con sus compañeros, profesores, sus alumnos y demás personal del Instituto. Disposición para incorporar a su práctica cotidiana las tecnologías de información y comunicación. Habilidades de autogestión para la administración de su tiempo dedicado al programa de posgrado. Poseer título de licenciatura en áreas de ingeniería, ciencias físico matemáticas o educación. Ser profesores de Física en activo con carga académica mínima, con dedicación exclusiva al programa.
;¿Qué perfil académicos tienen los egresados del doctorado en física educativa?;Articular la investigación con la realidad educativa. Incorporar los hallazgos de la investigación a la realidad educativa mediante los diferentes procesos del diseño curricular. Investigar, aspectos particulares de las diversas dimensiones del conocimiento físico: la naturaleza epistemológica, la dimensión sociocultural, los planos de lo cognitivo y los modos de transmisión vía la enseñanza. Diseñar innovaciones basadas en la investigación de situaciones de aprendizaje, atendiendo a factores de reproducibilidad. Desarrollar un entendimiento científico del aprendizaje e instrucción en Física. Proponer y participar en grupos académicos que contribuyan al enriquecimiento de la labor docente. El egresado del programa deberá poseer la conciencia social adecuada para ejercer su profesión en forma ética.
;¿Qué duración tiene el doctorado en física educativa?;El doctorado en física educativa tiene una duración de seis semestres.
;¿Cuál es el plan de estudios de la maestria en física educativa?;Puede consultar el plan de estudios del doctorado en física edducativa a traves de la siguiente liga: https://www.cicata.ipn.mx/oferta-educativa/fisica-educativa/posgrados/doctorado.html
;¿Cuáles son las unidades de aprendizajes obligatorias de la maestría en física educativa?;Seminario de Investigación en física educativa I. Seminario de Investigación en física educativa II. Seminario de Investigación en física educativa III. Trabajo de Tesis I. Trabajo de Tesis II. Trabajo de Tesis III.
;¿Cuáles son las unidades de aprendizajes optativas de la maestría en física educativa?;Desarrollo curricular y teorías educativas contemporáneas. Didáctica de la Física. Filisofía de la Ciencia. Herramientas de computaciín en la didáctica de la física. Historia de la física. Metodología de la Investigación educativa II. Temas especiales de la Física I (Mecánica clásica). Temas especiales de la Física II (Calor y termodinámica). Temas especiales de la Física III (Electromagnetismo). Temas especiales de la Física IV (Oscilaciones y Ondas). Temas especiales de la Física V (Óptica). Teorías del aprendizaje.
;¿Qué objetivo tiene la línea de investigación Biomateriales y Procesos Químicos?;La LGAC de Biomateriales y Procesos Químicos tiene como objetivo aplicar la química y bioquímica principalmente para la obtención de productos de interés alimentario, médico, energético o industrial. Tal es el caso de la micro y nanoencapsulación de principios activos de fitofármacos, o nutrientes esenciales de algunos alimentos, o bien, diseñar materiales catalíticos que permitan llevar a cabo reacciones químicas de interés para generar energía a partir de fuentes renovables o no renovables.
;¿En el área de Biomateriales y Procesos Químicos cuantos profesores se encuentran?;En esta área se encuentran 6 profesores
;¿Cual es la formacion academica del Dr. Fernando Trejo Zárraga?;Ingeniero Químico Industrial por parte del Instituto Politécnico Nacional. Maestro en Ciencias con Especialidad en Ingeniería Química del Instituto Politécnico Nacional. Doctor en Ingeniería por parte de la Universidad Nacional Autónoma de México (UNAM)
;¿Cuáles son las lineas de interes del Dr. Fernando Trejo Zárraga?;Hidrotratamiento catalítico. Biocombustibles. Catálisis heterogénea. Simulación computacional
;¿Cuáles son los proyectos de investigacion del Dr. Fernando Trejo Zárraga?;Mejoramiento de crudos pesados mediante desasfaltado e hidrotratamiento catalítico. Obtención de biodiesel y diésel renovable a partir de distintos tipos de materia prima. Síntesis, caracterización y evaluación de catalizadores soportados y no soportados para hidrotratamiento catalítico
;¿Cuál es el contacto del Dr. Fernando Trejo Zárraga?;Teléfono de oficina 55 57 29 60 00 ext. 67771. E-mail: ftrejoz@ipn.mx
;¿Cual es la formacion academica del Dr. Eduardo San Martín Martínez?;Maestría en Tecnología de Alimentos, Facultade de Engenharia de Alimentos, Universidade Estadual de Campinas - UNICAMP. Campinas, SP – Brasil. Doctorado en Tecnología de Alimentos, Facultade de Engenharia de Alimentos, Universidade Estadual de Campinas, UNICAMP. Campinas, SP. - Brasil. Pos doctorado en la Universidad Catolica de Leuven Belgica DEPARTEMENT NATUURKUNDE LABORATORIUM VOOR AKOESTIEK EN THERMISCHE FYSICA
;¿Cuáles son las lineas de interes del Dr. Eduardo San Martín Martínez?;Ingeniería de tejidos, andamios y matriz extracelular (sustituto de piel). Nanotrasportadores de fitofármacos para el tratamiento de cáncer. Biosensores de glucosa con grafeno en nanofibras poliméricas. Biosensado in vitro e in vivo con nanopartículas fotoluminicentes. Desarrollo de superficies superhidrofóbicas autolimpiantes
;¿Cuáles son los proyectos de investigacion del Dr. Eduardo San Martín Martínez?;Fitofármacos nanoencapsulados para el tratamiento de cáncer de mama. Biosensores de glucosa no invasivo con nanofibras poliméricas. Apósitos con nanofibras poliméricas para el tratamiento de enfermedades cutáneas. Dendrimeros y liposomas para el transporte de fármacos en el tratamiento de cancer. Nanoparticulas metalicas nucleo coraza con propiedades bactericidas
;¿Cuál es el contacto del Dr. Eduardo San Martín Martínez?;Teléfono de oficina: 55 57 29 63 00 ext.67769. E-mail: sanmartinedu@hotmail.com
;¿Cual es la formacion academica del Dr. Miguel Angel Aguilar Méndez?;Ingeniero Agroindustrial de la Universidad Autónoma Chapingo. Maestro en Tecnología Avanzada del Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada Unidad Legaria del Instituto Politécnico Nacional (CICATA Legaria -IPN ). Doctor en Tecnología Avanzada del CICATA Legaria -IPN
;¿Cuáles son las lineas de interes del Dr. Miguel Angel Aguilar Méndez?;Antioxidantes naturales y optimización de procesos de extracción. Bio-recubrimientos y sus aplicaciones. Nanotecnología aplicada al área de alimentos y agricultura
;¿Cuáles son los proyectos de investigacion del Dr. Miguel Angel Aguilar Méndez?;Extracción, caracterización y nanoencapsulación de polifenoles obtenidos de Justicia spicigera (muicle). Optimización de la extracción ultrasónica de compuestos bioactivos con actividad antioxidante de Theobroma cacao L. Micro y nanoencapsulación de compuestos fenólicos con actividad Antioxidante. Formulación de un nanofertilizante fuente de calcio como estrategia para una agricultura sustentable
;¿Cuál es el contacto del Dr. Miguel Angel Aguilar Méndez?;Teléfono de oficina: 55 57 29 60 00 ext 67778. E-mail: miguel_agme@hotmail.com
;¿Cual es la formacion academica del Dra. Rocio Guadalupe Casañas Pimentel?;Técnico en Administración del Centro de Bachillerato Tecnológico, Industrial y de Servicios No. 200. Ingeniera Biotecnóloga deñ Unidad Profesional Interdisciplinaria de Biotecnología, Instituto Politécnico Nacional. Maestría en Tecnología Avanzada del Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada, Unidad Legaria, Instituto Politécnico Nacional (CICATA Legaria - IPN).  Doctorado en Tecnología Avanzada de CICATA Legaria - IPN
;¿Cuáles son las lineas de interes del Dra. Rocio Guadalupe Casañas Pimentel?;Cáncer. Tecnología Farmacéutica. Biotecnología. Nanotecnología. Productos Naturales
;¿Cuáles son los proyectos de investigacion del Dra. Rocio Guadalupe Casañas Pimentel?;Desarrollo de nanotecnología para aplicación médica. Desarrollo de Sistemas de Liberación de Fármacos. Identificación de nuevas moléculas para el tratamiento de cáncer.
;¿Cuál es el contacto del Dra. Rocio Guadalupe Casañas Pimentel?;E-mail: [rg15cp@yahoo.com.mx]
